Project,Uraian,Debit,Kredit,Saldo,jenis_pembayaran
0,Pembangunan di Km 9,0.0,6500.0,18994689.0,1
0,Pembangunan di Km 9,0.0,6500.0,17988189.0,1
0,Pembangunan di Km 9,0.0,6500.0,15881689.0,1
0,Pembangunan di Km 9,0.0,6500.0,15125189.0,1
0,Pembangunan di Km 9,0.0,3000.0,15102189.0,1
0,Pembangunan di Km 9,0.0,6500.0,14795689.0,1
0,Pembangunan di Km 9,0.0,1000000.0,163795689.0,1
0,Pembangunan di Km 9,0.0,3000000.0,160789189.0,1
0,Pembangunan di Km 9,0.0,850000.0,159932689.0,1
0,Pembangunan di Km 9,0.0,1500000.0,158426189.0,1
0,Pembangunan di Km 9,0.0,6500.0,158419689.0,1
0,Pembangunan di Km 9,0.0,1500000.0,155419689.0,1
0,Pembangunan di Km 9,0.0,6500.0,155053189.0,1
0,Pembangunan di Km 9,0.0,6500.0,154046689.0,1
0,Pembangunan di Km 9,0.0,6500.0,153865189.0,1
0,Pembangunan di Km 9,0.0,100000.0,153765189.0,1
0,Pembangunan di Km 9,0.0,12000.0,153753189.0,1
0,Pembangunan di Km 9,0.0,26000.0,153724189.0,1
0,Pembangunan di Km 9,0.0,15000.0,153686189.0,1
0,Pembangunan di Km 9,0.0,6500.0,148679689.0,1
0,Pembangunan di Km 9,0.0,80000.0,148599689.0,1
0,Pembangunan di Km 9,0.0,21000.0,148578689.0,1
0,Pembangunan di Km 9,0.0,6500.0,148572189.0,1
0,Pembangunan di Km 9,0.0,500000.0,148072189.0,1
0,Pembangunan di Km 9,0.0,6500.0,148065689.0,1
0,Pembangunan di Km 9,0.0,290000.0,147775689.0,1
0,Pembangunan di Km 9,0.0,6500.0,147579189.0,1
0,Pembangunan di Km 9,0.0,500000.0,147079189.0,1
0,Pembangunan di Km 9,0.0,95000.0,146977689.0,1
0,Pembangunan di Km 9,0.0,40000.0,146917689.0,1
0,Pembangunan di Km 9,0.0,6500.0,146911189.0,1
0,Pembangunan di Km 9,0.0,6500.0,146154689.0,1
0,Pembangunan di Km 9,0.0,6500.0,146031189.0,1
0,Pembangunan di Km 9,0.0,1200000.0,144831189.0,1
0,Pembangunan di Km 9,0.0,300000.0,144531189.0,1
0,Pembangunan di Km 9,0.0,250000.0,144274689.0,1
0,Pembangunan di Km 9,0.0,132000.0,144042689.0,1
0,Pembangunan di Km 9,0.0,15000.0,144012689.0,1
0,Pembangunan di Km 9,0.0,15000.0,143997689.0,1
0,Pembangunan di Km 9,0.0,6500.0,143972189.0,1
0,Pembangunan di Km 9,0.0,1300000.0,142672189.0,1
0,Pembangunan di Km 9,0.0,6500.0,142665689.0,1
0,Pembangunan di Km 9,0.0,500000.0,142165689.0,1
0,Pembangunan di Km 9,0.0,6500.0,142159189.0,1
0,Pembangunan di Km 9,0.0,2025000.0,140134189.0,1
0,Pembangunan di Km 9,0.0,6500.0,140127689.0,1
0,Pembangunan di Km 9,0.0,1140000.0,137532689.0,1
0,Pembangunan di Km 9,0.0,720000.0,136497689.0,1
0,Pembangunan di Km 9,0.0,900000.0,135342689.0,1
0,Pembangunan di Km 9,0.0,3750000.0,131586189.0,1
0,Pembangunan di Km 9,0.0,6500.0,131579689.0,1
0,Pembangunan di Km 9,0.0,100000.0,131479689.0,1
0,Pembangunan di Km 9,0.0,3000.0,131476689.0,1
0,Pembangunan di Km 9,0.0,559000.0,130917689.0,1
0,Pembangunan di Km 9,0.0,6500.0,130911189.0,1
0,Pembangunan di Km 9,0.0,6500.0,130704689.0,1
0,Pembangunan di Km 9,0.0,6500.0,124198189.0,1
0,Pembangunan di Km 9,0.0,1000000.0,122698189.0,1
0,Pembangunan di Km 9,0.0,6500.0,120691689.0,1
0,Pembangunan di Km 9,0.0,6500.0,119585189.0,1
0,Pembangunan di Km 9,0.0,6500.0,116328689.0,1
0,Pembangunan di Km 9,0.0,408000.0,115920689.0,1
0,Pembangunan di Km 9,0.0,6500.0,115914189.0,1
0,Pembangunan di Km 9,0.0,2500000.0,113055189.0,1
0,Pembangunan di Km 9,0.0,30000.0,112725189.0,1
0,Pembangunan di Km 9,0.0,35000.0,112666189.0,1
0,Pembangunan di Km 9,0.0,6500.0,112439689.0,1
0,Pembangunan di Km 9,0.0,500000.0,111939689.0,1
